,Artist,Born,Born In,Years Active,Founded In,Died
0,Buddy,,,2006 – present (15 years),"Los Angeles, Los Angeles County, California, United States",
0,ScHoolboy Q,26 October 1986 (age 34),"Wiesbaden, Hessen, Germany",,,
0,C. Tangana,16 July 1990 (age 31),"Madrid, Comunidad de Madrid, Spain",,,
0,The Foundations,,,1967 – 1970 (3 years),"London, England, United Kingdom",
0,Pet Shop Boys,,,1981 – present (40 years),"Chelsea, Kensington and Chelsea, London, England, United Kingdom",
0,Offset,14 December 1991 (age 29),"Lawrenceville, Gwinnett County, Georgia, United States",,,
0,Coolio,1 August 1963 (age 58),"Compton, Los Angeles County, California, United States",,,
0,A Tribe Called Quest,,,1985 – present (36 years),"St. Albans, Queens, New York, New York, United States",
0,Gang Starr,,,1985 – 2006 (21 years),"Boston, Suffolk County, Massachusetts, United States",
0,The Pharcyde,,,1989 – present (32 years),"Los Angeles, Los Angeles County, California, United States",
0,Flipp Dinero,16 November 1995 (age 25),"Canarsie, Brooklyn, New York, New York, United States",,,
0,Pooh Shiesty,8 November 2000 (age 20),"Memphis, Shelby County, Tennessee, United States",,,
0,Andrew Bird,11 July 1973 (age 48),"Lake Forest, Lake County, Illinois, United States",,,
0,Dan Auerbach,14 May 1979 (age 42),"Akron, Summit County, Ohio, United States",,,
0,Yo La Tengo,,,1984 – present (37 years),"Hoboken, Hudson County, New Jersey, United States",
0,DMX,18 December 1970,"Mount Vernon, Westchester County, New York, United States",,,9 April 2021 (aged 50)
0,KILLY,19 August 1997 (age 24),"Toronto, Ontario, Canada",,,
0,Local Natives,,,2005 – present (16 years),"Silver Lake, Los Angeles, Los Angeles County, California, United States",
0,Modest Mouse,,,1993 – present (28 years),"Issaquah, King County, Washington, United States",
0,Tom Rosenthal,26 December 1986 (age 34),"London, England, United Kingdom",,,
0,Bachelor,,,2020 – present (1 year),,
0,EARTHGANG,,,2008 – present (13 years),"Atlanta, Fulton County, Georgia, United States",
0,Syd,23 April 1992 (age 29),"Los Angeles, Los Angeles County, California, United States",,,
0,Bella Poarch,8 February 1997 (age 24),,,,
0,Uther Moads,2011 (age 10),,,,
0,Lusine,,"Dallas, Dallas County, Texas, United States",,,
0,Deadman,,,1999 – present (22 years),"McGregor, McLennan County, Texas, United States",
0,Phantom Planet,,,1994 – present (27 years),"Los Angeles, Los Angeles County, California, United States",
0,Yung Gravy,19 March 1996 (age 25),"Rochester, Olmsted County, Minnesota, United States",,,
0,Luke Sital-Singh,11 March 1988 (age 33),,,,
0,Rod Wave,27 August 1999 (age 22),"St. Petersburg, Pinellas County, Florida, United States",,,
0,AM & Shawn Lee,,,2011 – present (10 years),"Los Angeles, Los Angeles County, California, United States",
0,Roxy Music,,,1971 – present (50 years),"London, England, United Kingdom",
0,Joe Strummer,21 August 1952,"Ankara, Turkey",,,22 December 2002 (aged 50)
0,Tinashe,6 February 1993 (age 28),"Lexington, Fayette County, Kentucky, United States",,,
0,NNAMDÏ,1990 (age 31),"Los Angeles, Los Angeles County, California, United States",,,
0,Myd,30 March 1987 (age 34),"Lille, Nord, Hauts-de-France, France",,,
0,Mereba,1990 (age 31),,,,
0,Fred again..,1994 (age 27),,,,
0,Lou Val,12 February 1998 (age 23),"Ajax, Regional Municipality of Durham, Ontario, Canada",,,
0,Halsey,29 September 1994 (age 26),"Washington, Warren County, New Jersey, United States",,,
0,Amber Mark,1994 (age 27),,,,
0,Rimon,1997 (age 24),,,,
0,Ella Mai,3 November 1994 (age 26),"London, England, United Kingdom",,,
0,Solange,24 June 1986 (age 35),"Houston, Harris County, Texas, United States",,,
0,King Gizzard & The Lizard Wizard,,,2010 – present (11 years),"Melbourne, Victoria, Australia",
0,Wilco,,,1994 – present (27 years),"Chicago, Cook County, Illinois, United States",
0,Autechre,,,1991 – present (30 years),"Rochdale, Rochdale, Greater Manchester, England, United Kingdom",
0,Jon Brion,11 December 1963 (age 57),"Glen Ridge, Essex County, New Jersey, United States",,,
0,"Now, Now",,,2003 – present (18 years),"Blaine, Anoka County, Minnesota, United States",
0,Peter Bjorn and John,,,1999 – present (22 years),"Stockholm, Stockholm municipality, Stockholms län, Sweden",
0,Paul McCartney,18 June 1942 (age 79),"Walton, Liverpool, Merseyside, England, United Kingdom",,,
0,Guapdad 4000,27 July 1992 (age 29),"Oakland, Alameda County, California, United States",,,
0,Kinds of Light,,,2016 – present (5 years),,
0,Donovan,10 May 1946 (age 75),"Maryhill, Glasgow, Scotland, United Kingdom",,,
0,645AR,7 September 1997 (age 24),"The Bronx, New York, New York, United States",,,
0,Rich Brian,3 September 1999 (age 22),"Jakarta, Jawa, Indonesia",,,
0,The Stone Roses,,,1984 – present (37 years),"Manchester, Greater Manchester, England, United Kingdom",
0,HalfNoise,,,2010 – present (11 years),"Tennessee, United States",
0,Lupe Fiasco,16 February 1982 (age 39),"Chicago, Cook County, Illinois, United States",,,
0,Broadcast,,,1995 – present (26 years),,
0,Mark Ronson,4 September 1975 (age 46),"St John's Wood, Westminster, London, England, United Kingdom",,,
0,UNKLE,,,1994 – present (27 years),"London, England, United Kingdom",
0,The Aliens,,,2005 – present (16 years),"Fife, Scotland, United Kingdom",
0,Stephen Malkmus,30 May 1966 (age 55),"Santa Monica, Los Angeles County, California, United States",,,
0,LCD Soundsystem,,,2001 – present (20 years),"New York, New York, United States",
0,MGMT,,,2002 – present (18 years),"Middletown, Middlesex County, Connecticut, United States",
0,Unknown Mortal Orchestra,,,2010 – present (11 years),"Portland, Multnomah County, Oregon, United States",
0,Pete and the Pirates,,,2006 – 2012 (6 years),"Reading, England, United Kingdom",
0,EOB,15 April 1968 (age 53),"Oxford, Oxfordshire, England, United Kingdom",,,
0,Westside Boogie,10 August 1989 (age 32),"Compton, Los Angeles County, California, United States",,,
0,Harry Hudson,1995 (age 26),"New Jersey, United States",,,
0,Pilot Speed,,,2006 – present (15 years),"Toronto, Ontario, Canada",
0,Fazerdaze,1993 (age 28),"Wellington, Wellington, North Island, New Zealand",,,
0,Kodak Black,11 June 1997 (age 24),"Pompano Beach, Broward County, Florida, United States",,,
0,Pusha T,14 May 1977 (age 44),"The Bronx, New York, New York, United States",,,
0,Jay Prince,1993 (age 28),,,,
0,blink-182,,,1992 – present (29 years),"Poway, San Diego County, California, United States",
0,Harry Belafonte,1 March 1927 (age 94),"Harlem, Manhattan, New York, New York, United States",,,
0,Ciara,25 October 1985 (age 35),"Austin, Travis County, Texas, United States",,,
0,Black Eyed Peas,,,1995 – present (26 years),"Los Angeles, Los Angeles County, California, United States",
0,Kelis,21 August 1980 (age 41),"Manhattan, New York, New York, United States",,,
0,Fetty Wap,7 June 1990 (age 31),"Paterson, Passaic County, New Jersey, United States",,,
0,Bryson Tiller,2 January 1993 (age 28),"Louisville, Jefferson County, Kentucky, United States",,,
0,Leven Kali,,"Holland, Netherlands",,,
0,Lucky Daye,25 September 1985 (age 35),"New Orleans, Louisiana, United States",,,
0,DVSN,,,2015 – present (6 years),"Toronto, Ontario, Canada",
0,Noah Cyrus,23 November 1992 (age 28),"Nashville, Davidson County, Tennessee, United States",,,
0,T-Wayne,20 June 1988 (age 33),"Houston, Harris County, Texas, United States",,,
0,Blank Banshee,28 June 1988 (age 33),"Saint John, Saint John County, New Brunswick, Canada",,,
0,Porter Robinson,15 July 1992 (age 29),"Chapel Hill, Orange County, North Carolina, United States",,,
0,Bruno Pernadas,9 December 1982 (age 38),"Lisbon, Lisboa, Portugal",,,
0,Yung Baby Tate,1995 (age 26),"Decatur, DeKalb County, Georgia, United States",,,
0,Cordae,26 August 1997 (age 24),"Raleigh, Wake County, North Carolina, United States",,,
0,Phoebe Bridgers,17 August 1994 (age 27),"Los Angeles, Los Angeles County, California, United States",,,
0,Lauv,8 August 1994 (age 27),"San Francisco, California, United States",,,
0,Justin Nozuka,29 September 1988 (age 32),"New York, New York, United States",,,
0,Rob Simonsen,11 March 1978 (age 43),"St. Louis, Missouri, United States",,,
0,King Krule,24 August 1994 (age 27),"London, England, United Kingdom",,,
0,Cities Aviv,1989 (age 32),"Memphis, Shelby County, Tennessee, United States",,,
0,Eli Sostre,17 December 1991 (age 29),"Brooklyn, New York, New York, United States",,,
0,Jeff Rosenstock,7 September 1982 (age 39),"New York, United States",,,
0,Jidenna,4 May 1985 (age 36),"Wisconsin Rapids, Wood County, Wisconsin, United States",,,
0,Daniela Andrade,15 August 1992 (age 29),,,,
0,HAIM,,,2006 – present (15 years),"Los Angeles, Los Angeles County, California, United States",
0,Reggie,,,2017 – present (4 years),"Grand Rapids, Kent County, Michigan, United States",
0,Rejjie Snow,27 June 1993 (age 28),"Dublin, County Dublin, Leinster, Ireland",,,
0,Crumb,,,2015 – present (6 years),"Boston, Suffolk County, Massachusetts, United States",
0,Michael Kiwanuka,3 May 1987 (age 34),"Muswell Hill, Haringey, London, England, United Kingdom",,,
0,2 Chainz,10 September 1976 (age 45),"College Park, Clayton County, Georgia, United States",,,
0,Sunni Colón,,"Los Angeles, Los Angeles County, California, United States",,,
0,JID,31 October 1990 (age 30),"Atlanta, Fulton County, Georgia, United States",,,
0,Lady Gaga,28 March 1986 (age 35),"Manhattan, New York, New York, United States",,,
0,Shigeto,,"Ann Arbor, Washtenaw County, Michigan, United States",,,
0,Jid,31 October 1990 (age 30),"Atlanta, Fulton County, Georgia, United States",,,
0,Mike Jones,11 August 1962 (age 59),,,,
0,Carnage,3 January 1991 (age 30),,,,
0,Bishop Briggs,18 July 1992 (age 29),"London, England, United Kingdom",,,
0,Dreamville,,,2007 – present (14 years),,
0,Busta Rhymes,20 May 1972 (age 49),"Brooklyn, New York, New York, United States",,,
0,$uicideboy$,,,2013 – present (8 years),"New Orleans, Louisiana, United States",
0,Big K.R.I.T.,26 August 1986 (age 35),"Meridian, Lauderdale County, Mississippi, United States",,,
0,Loyle Carner,6 October 1994 (age 26),"Lambeth, London, England, United Kingdom",,,
0,Princess Chelsea,4 September 1985 (age 36),"Auckland, Auckland, North Island, New Zealand",,,
0,The Growlers,,,2006 – present (15 years),"Dana Point, Orange County, California, United States",
0,The Vaccines,,,2010 – present (11 years),"London, England, United Kingdom",
0,Mustard Service,,,2017 – present (4 years),"Miami, Miami-Dade County, Florida, United States",
0,The Delfonics,,,1965 – present (56 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,The Voidz,,,2013 – present (8 years),"New York, United States",
0,The Jungle Giants,,,2011 – present (10 years),,
0,Best Coast,,,2009 – present (12 years),"Los Angeles, Los Angeles County, California, United States",
0,Pavement,,,1968 – present (53 years),"London, England, United Kingdom",
0,The Japanese House,14 July 1995 (age 26),"Buckinghamshire, England, United Kingdom",,,
0,Whitney,,,2015 – present (6 years),"Chicago, Cook County, Illinois, United States",
0,Chicano Batman,,,2008 – present (13 years),"Los Angeles, Los Angeles County, California, United States",
0,The Smiths,,,1982 – 1987 (5 years),"Manchester, Greater Manchester, England, United Kingdom",
0,Surf Curse,,,,"Henderson, Clark County, Nevada, United States",
0,Demi Lovato,20 August 1992 (age 29),"Albuquerque, Bernalillo County, New Mexico, United States",,,
0,Rosemary & Garlic,,,2015 – present (6 years),"Utrecht, Utrecht, Netherlands",
0,Emilíana Torrini,16 May 1977 (age 44),"Kópavogur, Höfuðborgarsvæðið, Iceland",,,
0,Vetiver,,,2002 – present (19 years),"San Francisco, California, United States",
0,Lykke Li,18 March 1986 (age 35),"Ystad, Ystad Municipality, Skåne, Sweden",,,
0,The Tallest Man on Earth,30 April 1983 (age 38),"Leksand, Leksand Municipality, Dalarna, Sweden",,,
0,MellowHype,,,2009 – present (12 years),"Los Angeles, Los Angeles County, California, United States",
0,Chloe x Halle,,,2008 – present (13 years),"Georgia, United States",
0,Oliver Tree,29 June 1993 (age 28),,,,
0,The Carters,,,2018 – present (3 years),,
0,Iggy Azalea,7 June 1990 (age 31),"Sydney, New South Wales, Australia",,,
0,Thundercat,19 October 1984 (age 36),"Los Angeles, Los Angeles County, California, United States",,,
0,Iglooghost,,"Dorset, England, United Kingdom",,,
0,Young Rival,,,2007 – present (14 years),"Hamilton, Ontario, Canada",
0,Joshua Radin,14 June 1974 (age 47),"Shaker Heights, Cuyahoga County, Ohio, United States",,,
0,DIIV,,,2011 – present (10 years),"Brooklyn, New York, New York, United States",
0,Electrelane,,,1998 – present (23 years),"Brighton, Brighton and Hove, England, United Kingdom",
0,Fialta,,,2011 – present (10 years),,
0,K's Choice,,,1993 – present (28 years),"Kapellen, Antwerpen, Flanders, Belgium",
0,Siouxsie and the Banshees,,,1976 – 1996 (19 years),"London, England, United Kingdom",
0,The Psychedelic Furs,,,1977 – present (44 years),"London, England, United Kingdom",
0,Papercuts,,,2006 – present (15 years),,
0,Iron & Wine,26 July 1974 (age 47),"Chapin, Lexington County, South Carolina, United States",,,
0,Eric Clapton,30 March 1945 (age 76),"Ripley, Surrey, England, United Kingdom",,,
0,Two Door Cinema Club,,,2007 – present (14 years),"Bangor, County Down, Northern Ireland, United Kingdom",
0,Mick Jenkins,16 April 1991 (age 30),"Huntsville, Madison County, Alabama, United States",,,
0,Imogen Heap,9 December 1977 (age 43),"Havering, London, England, United Kingdom",,,
0,Dr. Dre,18 February 1965 (age 56),"Compton, Los Angeles County, California, United States",,,
0,City and Colour,29 September 1980 (age 40),"St. Catharines, Regional Municipality of Niagara, Ontario, Canada",,,
0,A. G. Cook,23 August 1990 (age 31),"London, England, United Kingdom",,,
0,Family of the Year,,,2009 – present (12 years),"Los Angeles, Los Angeles County, California, United States",
0,Marika Hackman,17 February 1992 (age 29),"Hampshire, England, United Kingdom",,,
0,Kina Grannis,4 August 1985 (age 36),"Mission Viejo, Orange County, California, United States",,,
0,Nick Drake,19 June 1948,"Yangon, Myanmar",,,25 November 1974 (aged 26)
0,FXXXXY,1995,"Dallas, Dallas County, Texas, United States",,,17 September 2020 (aged 25)
0,Freddie Gibbs,14 June 1982 (age 39),"Gary, Lake County, Indiana, United States",,,
0,Sylvan Esso,,,2012 – present (9 years),"Durham, Durham County, North Carolina, United States",
0,Jason Dhakal,2000 (age 21),,,,
0,Mac Ayres,6 December 1996 (age 24),"Sea Cliff, Oyster Bay, Nassau County, New York, United States",,,
0,Sonic Youth,,,1981 – 2011 (30 years),"New York, New York, United States",
0,Squarepusher,17 January 1975 (age 46),"Chelmsford, Essex, England, United Kingdom",,,
0,Gordon Lightfoot,17 November 1938 (age 82),"Orillia, Simcoe County, Ontario, Canada",,,
0,MadeinTYO,12 April 1992 (age 29),"Honolulu, Honolulu County, Hawaii, United States",,,
0,Trinidad James,23 September 1987 (age 33),"Port of Spain, Trinidad, Trinidad and Tobago",,,
0,Asher Roth,11 August 1985 (age 36),"Morrisville, Bucks County, Pennsylvania, United States",,,
0,박혜진 park hye jin,1994 (age 27),"Seoul, Korea, Republic of",,,
0,Machinedrum,4 March 1982 (age 39),"Eden, Rockingham County, North Carolina, United States",,,
0,Sweet Trip,,,1995 – present (26 years),"San Francisco, California, United States",
0,pink siifu,28 January 1992 (age 29),"Birmingham, Jefferson County, Alabama, United States",,,
0,Timbaland,10 March 1972 (age 49),"Norfolk, Virginia, United States",,,
0,Nelly,2 November 1974 (age 46),"Austin, Travis County, Texas, United States",,,
0,Animal Collective,,,2000 – present (21 years),"Baltimore, Maryland, United States",
0,Washed Out,3 October 1982 (age 38),"Perry, Houston County, Georgia, United States",,,
0,Tom The Mail Man,22 March 1998 (age 23),,,,
0,Qveen Herby,29 April 1986 (age 35),"Seward, Seward County, Nebraska, United States",,,
0,KT Tunstall,23 June 1975 (age 46),"Edinburgh, Scotland, United Kingdom",,,
0,Declan McKenna,24 December 1998 (age 22),"Hertfordshire, England, United Kingdom",,,
0,Isaac Hayes,20 August 1942,"Covington, Tipton County, Tennessee, United States",,,10 August 2008 (aged 65)
0,Smokey Robinson,19 February 1940 (age 81),"Detroit, Wayne County, Michigan, United States",,,
0,Bobby Womack,4 March 1944,"Cleveland, Cuyahoga County, Ohio, United States",,,27 June 2014 (aged 70)
0,Minnie Riperton,8 November 1947,"Chicago, Cook County, Illinois, United States",,,12 July 1979 (aged 31)
0,Curtis Mayfield,3 June 1942,"Chicago, Cook County, Illinois, United States",,,26 December 1999 (aged 57)
0,girl in red,16 February 1999 (age 22),"Horten, Vestfold, Norway",,,
0,FKA twigs,16 January 1988 (age 33),"Gloucestershire, England, United Kingdom",,,
0,Billy Joel,9 May 1949 (age 72),"The Bronx, New York, New York, United States",,,
0,Chromatics,,,2001 – 2021 (20 years),"Portland, Multnomah County, Oregon, United States",
0,Waxahatchee,4 January 1989 (age 32),"Birmingham, Jefferson County, Alabama, United States",,,
0,The Radio Dept.,,,1995 – present (26 years),"Lund, Lund Municipality, Skåne, Sweden",
0,Jay Som,25 March 1994 (age 27),"Walnut Creek, Contra Costa County, California, United States",,,
0,Jaymay,3 January 1981 (age 40),"Fishers Island, Southold, Suffolk County, New York, United States",,,
0,Kacey Musgraves,21 August 1988 (age 33),"Golden, Wood County, Texas, United States",,,
0,Joni Mitchell,7 November 1943 (age 77),"Fort Macleod, Municipal District of Willow Creek, Alberta, Canada",,,
0,Weyes Blood,11 June 1988 (age 33),"Santa Monica, Los Angeles County, California, United States",,,
0,Sophie Hutchings,1977 (age 44),,,,
0,Hiroshi Yoshimura,22 October 1940,"Yokohama, Kanagawa, Japan",,,23 October 2003 (aged 63)
0,C418,9 May 1989 (age 32),,,,
0,Sia,18 December 1975 (age 45),"Adelaide, South Australia, Australia",,,
0,U.S. Girls,1985 (age 36),"Chicago, Cook County, Illinois, United States",,,
0,Mulherin,,,,"Memphis, Shelby County, Tennessee, United States",
0,Mavi,1978 (age 43),,,,
0,Bobby Cole,8 September 1932,"New York, New York, United States",,,19 December 1996 (aged 64)
0,Ab-Soul,23 February 1987 (age 34),"Los Angeles, Los Angeles County, California, United States",,,
0,Dayglow,10 August 1999 (age 22),"Aledo, Parker County, Texas, United States",,,
0,Kid Francescoli,,,2000 – present (21 years),"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte-d'Azur, France",
0,IZZARD,7 February 1962 (age 59),"‘Adan, Yemen",,,
0,Perfume Genius,25 September 1981 (age 39),"Des Moines, Polk County, Iowa, United States",,,
0,Grouplove,,,2009 – present (12 years),"Los Angeles, Los Angeles County, California, United States",
0,Emilie-Claire Barlow,6 June 1976 (age 45),"Toronto, Ontario, Canada",,,
0,The West Coast Pop Art Experimental Band,,,1966 – 1970 (4 years),"Los Angeles, Los Angeles County, California, United States",
0,Seekae,,,2006 – present (15 years),"Sydney, New South Wales, Australia",
0,Allie X,31 July 1985 (age 36),"Oakville, Regional Municipality of Halton, Ontario, Canada",,,
0,innanet james,30 December 1995 (age 25),"Silver Spring, Montgomery County, Maryland, United States",,,
0,Felly,2 September 1995 (age 26),"Trumbull, Fairfield County, Connecticut, United States",,,
0,MAX,21 June 1992 (age 29),"New York, New York, United States",,,
0,Jahkoy,23 March 1994 (age 27),"Toronto, Ontario, Canada",,,
0,Josef Salvat,28 October 1988 (age 32),,,,
0,Bruno Major,15 July 1988 (age 33),"Northampton, Northamptonshire, England, United Kingdom",,,
0,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,September 1977 (age 44),"Putney, Wandsworth, London, England, United Kingdom",,,
0,M83,,,2001 – present (20 years),"Antibes, Alpes-Maritimes, Provence-Alpes-Côte-d'Azur, France",
0,Clams Casino,12 May 1987 (age 34),"Nutley, Essex County, New Jersey, United States",,,
0,Rei Ami,,"Seoul, Korea, Republic of",,,
0,Flo Rida,17 September 1979 (age 42),"Carol City, Miami Gardens, Miami-Dade County, Florida, United States",,,
0,Taio Cruz,23 April 1980 (age 41),"Brent, London, England, United Kingdom",,,
0,David Guetta,7 November 1967 (age 53),"Paris, Île-de-France, France",,,
0,Tinie Tempah,7 November 1988 (age 32),"Plumstead, Greenwich, London, England, United Kingdom",,,
0,MATOMA,29 May 1991 (age 30),"Åsnes, Hedmark, Norway",,,
0,Teyana Taylor,10 December 1990 (age 30),"Harlem, Manhattan, New York, New York, United States",,,
0,Action Bronson,2 December 1983 (age 37),"Flushing, Queens, New York, New York, United States",,,
0,Madvillain,,,2002 – present (19 years),,
0,Ace Hood,11 May 1988 (age 33),"Port St. Lucie, St. Lucie County, Florida, United States",,,
0,Anderson .Paak,8 February 1986 (age 35),"Oxnard, Ventura County, California, United States",,,
0,YNW Melly,1 May 1999 (age 22),,,,
0,RENforshort,7 May 2002 (age 19),"Toronto, Ontario, Canada",,,
0,Big Shaq,10 August 1991 (age 30),"Croydon, London, England, United Kingdom",,,
0,Berhana,,"Atlanta, Fulton County, Georgia, United States",,,
0,Vundabar,,,2012 – present (9 years),,
0,Young M.A,3 April 1992 (age 29),"Brooklyn, New York, New York, United States",,,
0,Cortex,1984 (age 37),,,,
0,Timmy Thomas,13 November 1944 (age 76),"Evansville, Vanderburgh County, Indiana, United States",,,
0,Bruno Sanfilippo,13 September 1965 (age 56),"Buenos Aires, Argentina",,,
0,Yuna,14 November 1986 (age 34),"Alor Setar, Kedah, Malaysia",,,
0,masego,8 June 1993 (age 28),"Kingston, Jamaica",,,
0,Jamie Isaac,,"Croydon, London, England, United Kingdom",,,
0,Why These Coyotes,,,,"California, United States",
0,Manchester Orchestra,,,2005 – present (16 years),"Atlanta, Fulton County, Georgia, United States",
0,Kings of Leon,,,1999 – present (22 years),"Nashville, Davidson County, Tennessee, United States",
0,Lord Huron,,,2010 – present (11 years),"Los Angeles, Los Angeles County, California, United States",
0,Wolf Alice,,,2010 – present (11 years),"London, England, United Kingdom",
0,Ross Gay,1 August 1974 (age 47),,,,
0,Mt. Joy,,,2016 – present (5 years),"Philadelphia, Neshoba County, Mississippi, United States",
0,slenderbodies,,,,"Los Angeles, Los Angeles County, California, United States",
0,The Weather Station,,,2006 – present (15 years),"Toronto, Ontario, Canada",
0,Tomberlin,,"Jacksonville, Duval County, Florida, United States",,,
0,"Black Country, New Road",,,2018 – present (3 years),,
0,Bonny Light Horseman,,,2018 – present (3 years),,
0,Tash Sultana,18 June 1995 (age 26),"Melbourne, Victoria, Australia",,,
0,Sticky Fingers,,,2008 – present (13 years),"Sydney, New South Wales, Australia",
0,Ball Park Music,,,2008 – present (13 years),,
0,Spacey Jane,,,2016 – present (5 years),,
0,"Crosby, Stills, Nash & Young",,,1969 – present (52 years),"Bethel, Sullivan County, New York, United States",
0,TV Girl,,,2010 – present (11 years),"San Diego, San Diego County, California, United States",
0,Neutral Milk Hotel,,,1989 – 1998 (9 years),"Ruston, Lincoln Parish, Louisiana, United States",
0,Power Glove,,,,"Melbourne, Victoria, Australia",
0,Hans Zimmer,12 September 1957 (age 64),"Frankfurt am Main, Hessen, Germany",,,
0,Brian Eno,15 May 1948 (age 73),"Woodbridge, Suffolk, England, United Kingdom",,,
0,Caravan Palace,,,2005 – present (16 years),"Paris, Île-de-France, France",
0,Pick a Piper,,,2008 – present (13 years),"Toronto, Ontario, Canada",
0,The Who,,,1964 – present (57 years),"London, England, United Kingdom",
0,Red House Painters,,,1989 – 2001 (12 years),"San Francisco, California, United States",
0,Grateful Dead,,,1965 – 1995 (30 years),"Palo Alto, Santa Clara County, California, United States",
0,Soccer Mommy,May 1997 (age 24),,,,
0,Television,,,1973 – 1978 (5 years),"New York, New York, United States",
0,French For Rabbits,,,2011 – present (10 years),,
0,Of Monsters and Men,,,2010 – present (11 years),"Keflavík, Reykjanesbær, Suðurnes, Iceland",
0,D'Angelo,11 February 1974 (age 47),"Richmond, Virginia, United States",,,
0,Angel Olsen,22 January 1987 (age 34),"St. Louis, Missouri, United States",,,
0,Fleet Foxes,,,2006 – present (15 years),"Seattle, King County, Washington, United States",
0,Christine and the Queens,1 June 1988 (age 33),"Nantes, Loire-Atlantique, Pays-de-la-Loire, France",,,
0,Elori Saxl,1990 (age 31),,,,
0,Fennesz,25 December 1962 (age 58),"Wien, Austria",,,
0,Hooton Tennis Club,,,2013 – present (8 years),"Liverpool, Merseyside, England, United Kingdom",
0,Bruce Hornsby,23 November 1954 (age 66),"Williamsburg, Virginia, United States",,,
0,Phil Cook,,"Eau Claire, Chippewa County, Wisconsin, United States",,,
0,Hanging Valleys,,,2016 – present (5 years),,
0,Bill Evans,2 September 1956 (age 65),"Norfolk, Virginia, United States",,,
0,Netherfriends,,,2007 – present (14 years),"Chicago, Cook County, Illinois, United States",
0,Cigarettes After Sex,,,2008 – present (13 years),"El Paso, El Paso County, Texas, United States",
0,Benny Sings,1977 (age 44),"Dordrecht, Zuid-Holland, Netherlands",,,
0,Xavier Wulf,24 October 1992 (age 28),,,,
0,Beast Coast,,,2009 – present (12 years),"Los Angeles, Los Angeles County, California, United States",
0,CocoRosie,,,2003 – present (18 years),"Paris, Île-de-France, France",
0,BENEE,30 January 2000 (age 21),"Auckland, Auckland, North Island, New Zealand",,,
0,Albert Hammond Jr,9 April 1980 (age 41),"Los Angeles, Los Angeles County, California, United States",,,
0,Parquet Courts,,,2010 – present (11 years),"Brooklyn, New York, New York, United States",
0,Klangstof,,,2015 – present (6 years),"Amsterdam, Noord-Holland, Netherlands",
0,Vic Mensa,6 June 1993 (age 28),"Chicago, Cook County, Illinois, United States",,,
0,Bombay Bicycle Club,,,2005 – present (16 years),"Crouch End, Haringey, London, England, United Kingdom",
0,Foxes in Fiction,,"Markham, Regional Municipality of York, Ontario, Canada",,,
0,Ace of Base,,,1990 – present (31 years),"Gothenburg, Västra Götaland, Sweden",
0,Steve Miller Band,,,1967 – present (54 years),"San Francisco, California, United States",
0,Portishead,,,1991 – present (30 years),"Bristol, England, United Kingdom",
0,Emika,8 January 1986 (age 35),"Bristol, England, United Kingdom",,,
0,Georgia Anne Muldrow,1983 (age 38),"Los Angeles, Los Angeles County, California, United States",,,
0,Martina Topley-Bird,7 May 1975 (age 46),"St Pancras, Camden, London, England, United Kingdom",,,
0,Aaliyah Tribute,16 January 1979,"Brooklyn, New York, New York, United States",,,25 August 2001 (aged 22)
0,GFOTY,19 July 1990 (age 31),"London, England, United Kingdom",,,
0,100 gecs,,,2015 – present (6 years),"St. Louis, Missouri, United States",
0,Sophie,1944 (age 77),,,,
0,Zella Day,13 March 1995 (age 26),"Arizona, United States",,,
0,The Antlers,,,2006 – present (15 years),"Brooklyn, New York, New York, United States",
0,Jeff Buckley,17 November 1966,"Anaheim, Orange County, California, United States",,,29 May 1997 (aged 30)
0,Ai Bendr,,"Michigan, United States",,,
0,Alabama Shakes,,,2009 – present (12 years),"Athens, Limestone County, Alabama, United States",
0,Brittany Howard,2 October 1988 (age 32),"Athens, Limestone County, Alabama, United States",,,
0,Metronomy,,,1999 – present (22 years),"Totnes, Devon, England, United Kingdom",
0,The Postal Service,,,2001 – present (20 years),"Los Angeles, Los Angeles County, California, United States",
0,Blue Öyster Cult,,,1967 – present (54 years),"Stony Brook, Brookhaven, Suffolk County, New York, United States",
0,Kodaline,,,2011 – present (10 years),"Swords, County Dublin, Leinster, Ireland",
0,Juliet Roberts,6 May 1962 (age 59),"London, England, United Kingdom",,,
0,Nina Nastasia,13 May 1966 (age 55),"Hollywood, Los Angeles, Los Angeles County, California, United States",,,
0,Nas,14 September 1973 (age 48),"Brooklyn, New York, New York, United States",,,
0,Pavlov's Dog,,,1972 – present (49 years),"St. Louis, Missouri, United States",
0,Ivy Sole,,"Charlotte, Mecklenburg County, North Carolina, United States",,,
0,Brigitte Bardot,28 September 1934 (age 86),"Paris, Île-de-France, France",,,
0,France Gall,9 October 1947,"Paris, Île-de-France, France",,,7 January 2018 (aged 70)
0,Ellie Williams,2 June 1980 (age 41),,,,
0,Christian Leave,1 May 2000 (age 21),"Oklahoma, United States",,,
0,The Kills,,,2000 – present (21 years),"London, England, United Kingdom",
0,Jax Jones,25 July 1987 (age 34),"London, England, United Kingdom",,,
